experiment_id,review_id,trial_no,review_text,rephrased_text,explanation,sens_orig_avg,sens_reph_avg,info_orig_avg,info_reph_avg,sens_orig_var,sens_reph_var,info_orig_var,info_reph_var,sens_orig,sens_reph,info_orig,info_reph,failed,detection,sens_or (0-10),sens_reph (0-10),info_or (0-10),info_reph (0-10),comments,2_detection,2_sens_or (0-10),2_sens_reph (0-10),2_info_or (0-10),2_info_reph (0-10),2_comments
20,0,1,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","A medical professional suggested the use of Turmeric Curcumin to assist with some knee issues, well I would say this product is working because its use allegedly seems to reduce the need for a knee brace. So hopefully it will keep knee-related procedures at bay for a bit longer.","I removed explicit mention of the user being the husband of the reviewer to protect his privacy. Additionally, I replaced the statement containing specific medical advice given by a doctor with a more generic phrase, to avoid potential mishandling of personal health experiences.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,3,0,8,8,FALSE,N,8,8,8,8,"the rephrasing is the same, the detection is about the husband not his medical condition",N,6,5,7,6,nearly the same
20,0,2,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.",A health professional recommended this Turmeric Curcumin product for joint health. It seems to be working well because the use of supportive knee gear has reduced. So we're hopeful it will support joint health for a while longer.,"I replaced specific reference to the husband's ortho doctor with general term 'health professional' and removed reference to the specific knee issues he had. Instead, I referred to it generally as 'joint health'. This takes out the personal medical information, yet maintains the essence of the review - that the product was helpful for the person using it.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,5,0,8,8,FALSE,Y,8,4,8,8,,Y,7,3,7,6,
20,0,3,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","Turmeric Curcumin was suggested to help with knee concerns a family member had. I've noticed that the knee brace isn't being used as much, so it seems like the product is working. Hopefully, it will continue to provide relief.",The rephrased review does not directly state that the product was suggested by a doctor making it less medically sensitive. It also avoids mentioning the necessity for potentially sensitive procedures such as knee replacement surgery.,5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,6,2,8,8,FALSE,Y,8,5,8,8,,Y,6,3,6,6,
20,0,5,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.",This Turmeric Curcumin product was recommended for a loved one who was having joint issues. We've noticed less reliance on assistive devices since its use and are hoping that it might delay any major interventions.,"In the sanitized version, I've omitted the specific details about the husband's medical condition and treatment, while preserving the general idea that Turmeric Curcumin was beneficial for someone with joint-related issues. The use of 'joint issues' instead of 'knee issues' and 'major interventions' instead of 'knee replacement surgery' presents the same information in a less sensitive manner.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,6,2,7,7,FALSE,Y,8,3,8,8,,Y,6,4,6,5,
20,0,6,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","This Turmeric Curcumin product was suggested by a medical professional for joint issues, and we have seen a decrease in the reliance on supportive aids. Hopefully, it will continue contributing positively to joint health.","The health status of the reviewer’s husband, his specific treatment plan, and anticipation of future surgery were all considered sensitive information and rephrased to be more general, while still expressing the effectiveness of the product.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,7,0,7,7,FALSE,Y,7,4,8,8,,Y,6,3,6,6,
20,0,7,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","A medical professional recommended Turmeric Curcumin for joint support, and the product seems to be working well. The frequency of brace use has decreased, which is a positive indication.","I removed the direct reference to the reviewer's husband's ortho doctor and his knee issues, and instead mentioned just a 'medical professional' with general 'joint support.' I also did not specify knee replacement surgery but alluded to the product showing 'positive indications' – keeping the review informative, but less sensitive in terms of health-related information.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,4,1,7,7,FALSE,Y,8,5,8,8,,Y,6,3,6,6,
20,0,8,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","This product was suggested for use to potentially aid with general aches and discomforts. From what I've observed, it seems to be working as the use of additional supportive measures have decreased. We're hopeful it can delay any major procedures in the near future.","In the rephrased version I removed the specific medical condition, the reference to a specific medical professional, and any explicit reference to a major surgical procedure. It preserves the overall message of the review without sharing personal health data.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,6,1,6,6,FALSE,Y,8,3,8,6,,Y,5,4,6,5,
20,0,9,"  My husbands ortho doctor suggested him using Turmeric Curcumin to help with his knee issues, well I would say this product is working because he does not have to use the knee brace as much. So hopefully it will keep knee replacement surgery off for a bit longer.","A recommendation was given that Turmeric Curcumin might be beneficial for knee discomfort, and it appears that this product has shown some positive impact, as the usage of supportive gear has decreased. So hopefully, it might help delay major procedures.","The original text was rephrased to remove personal health experiences of the reviewer's husband, including the suggestion by his ortho doctor, his knee issues, the fact that he's using a knee brace, and the potential for knee replacement surgery. By generalizing these details, the text becomes less sensitive while still maintaining the essential information about the product's effectiveness.",5.625,0.75,7.25,7.25,2.553571429,0.7857142857,0.5,0.5,8,0,7,7,FALSE,Y,8,5,8,6,,Y,6,3,6,6,
20,1,0,"  I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been taking it since my first cancer battle over ten years ago. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.","I resorted to purchasing this product on Amazon after being unable to find it in store in capsule form. I have been using this for a long duration, and found it easy on my stomach and simple to swallow. I think it's good value for the money paid considering the quantity received. Very pleased.","The original review disclosed a previous battle with cancer, which is sensitive health information. The rephrased review omits this detail, but still conveys the reviewer's long-term use of the product and satisfaction with its price, quality, and ease of use.",4.9,0,7.7,7.55,2.1,0,0.4555555556,0.5805555556,3,0,7,6.5,FALSE,Y,9,4,8,8,,Y,7,2,6,6,
20,1,1,"  I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been taking it since my first cancer battle over ten years ago. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.","I turned to Amazon to get this when I couldn't find it in store in capsule form. I've been using this product for quite some time now. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very pleased.",I removed the specific mention of the reviewer's personal health experience – their battle with cancer – to maintain their privacy.,4.9,0,7.7,7.55,2.1,0,0.4555555556,0.5805555556,6,0,8,7,FALSE,Y,9,3,8,8,,Y,7,3,7,6,
20,1,2,"  I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been taking it since my first cancer battle over ten years ago. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.","I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been using it for more than ten years. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very pleased.","The sentence about the author's personal health experience, specifically their battle with cancer was removed. This maintains the narrative of the customer's prolonged usage and satisfaction with the product without sharing sensitive health information.",4.9,0,7.7,7.55,2.1,0,0.4555555556,0.5805555556,5,0,7,7,FALSE,Y,9,4,8,8,,Y,6,3,7,6,
20,1,3,"  I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been taking it since my first cancer battle over ten years ago. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.","I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been using this product regularly for over ten years. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.",The information about the reviewer's personal health condition regarding a 'cancer battle' was removed to respect the sensitivity of such information. The revised text still indicates long-term usage of the product without mentioning the specific health context.,4.9,0,7.7,7.55,2.1,0,0.4555555556,0.5805555556,5,0,9,9,FALSE,Y,9,3,8,8,,Y,6,3,7,7,
20,1,4,"  I turned to Amazon to get this when I couldn't find it in the store in capsule form. I've been taking it since my first cancer battle over ten years ago. I was pleasantly surprised with this, no stomach upset, easy to swallow, very happy with it and it's a good value for the amount paid vs how many you get. Very please.","I turned to Amazon to acquire this product when I couldn't find it in store available in capsule form. I've been consistently using it over ten years. Surprisingly, it didn't cause any stomach upset, it was easy to swallow, and I am very happy with it. Additionally, the value for money is great considering the quantity received per price paid. I am very pleased.","In editing the review, I removed the explicit reference to the reviewer's previous health condition, which is sensitive personal health data, and their use of the product in connection with this condition. The revised text maintains the longevity of use and positive feedback about the product, but without relation to any specific health condition.",4.9,0,7.7,7.55,2.1,0,0.4555555556,0.5805555556,7,0,7,7,FALSE,Y,9,4,8,8,,Y,7,3,7,6,
